"year_week","date","countrycode","countryname","icu_weekly_admission"
"2020-W05",2020-02-02,"GR","Greece",0
"2020-W06",2020-02-03,"GR","Greece",0
"2020-W06",2020-02-04,"GR","Greece",0
"2020-W06",2020-02-05,"GR","Greece",0
"2020-W06",2020-02-06,"GR","Greece",0
"2020-W06",2020-02-07,"GR","Greece",0
"2020-W06",2020-02-08,"GR","Greece",0
"2020-W06",2020-02-09,"GR","Greece",0
"2020-W07",2020-02-10,"GR","Greece",0
"2020-W07",2020-02-11,"GR","Greece",0
"2020-W07",2020-02-12,"GR","Greece",0
"2020-W07",2020-02-13,"GR","Greece",0
"2020-W07",2020-02-14,"GR","Greece",0
"2020-W07",2020-02-15,"GR","Greece",0
"2020-W07",2020-02-16,"GR","Greece",0
"2020-W07",2020-02-17,"GR","Greece",0
"2020-W07",2020-02-18,"GR","Greece",0
"2020-W08",2020-02-19,"GR","Greece",0
"2020-W08",2020-02-20,"GR","Greece",0
"2020-W08",2020-02-21,"GR","Greece",0
"2020-W08",2020-02-22,"GR","Greece",0
"2020-W08",2020-02-23,"GR","Greece",0
"2020-W08",2020-02-24,"GR","Greece",0
"2020-W09",2020-02-25,"GR","Greece",0
"2020-W09",2020-02-26,"GR","Greece",0
"2020-W09",2020-02-27,"GR","Greece",0
"2020-W09",2020-02-28,"GR","Greece",0
"2020-W09",2020-02-29,"GR","Greece",0
"2020-W09",2020-03-01,"GR","Greece",0
"2020-W10",2020-03-02,"GR","Greece",0.0186487159100308
"2020-W10",2020-03-03,"GR","Greece",0.0186487159100308
"2020-W10",2020-03-04,"GR","Greece",0.0186487159100308
"2020-W10",2020-03-05,"GR","Greece",0.0186487159100308
"2020-W10",2020-03-06,"GR","Greece",0.0186487159100308
"2020-W10",2020-03-07,"GR","Greece",0.0186487159100308
"2020-W10",2020-03-08,"GR","Greece",0.0186487159100308
"2020-W11",2020-03-09,"GR","Greece",0.1212166534152
"2020-W11",2020-03-10,"GR","Greece",0.1212166534152
"2020-W11",2020-03-11,"GR","Greece",0.1212166534152
"2020-W11",2020-03-12,"GR","Greece",0.1212166534152
"2020-W11",2020-03-13,"GR","Greece",0.1212166534152
"2020-W11",2020-03-14,"GR","Greece",0.1212166534152
"2020-W11",2020-03-15,"GR","Greece",0.1212166534152
"2020-W12",2020-03-16,"GR","Greece",0.391623034110646
"2020-W12",2020-03-17,"GR","Greece",0.391623034110646
"2020-W12",2020-03-18,"GR","Greece",0.391623034110646
"2020-W12",2020-03-19,"GR","Greece",0.391623034110646
"2020-W12",2020-03-20,"GR","Greece",0.391623034110646
"2020-W12",2020-03-21,"GR","Greece",0.391623034110646
"2020-W12",2020-03-22,"GR","Greece",0.391623034110646
"2020-W13",2020-03-23,"GR","Greece",0.512839687525846
"2020-W13",2020-03-24,"GR","Greece",0.512839687525846
"2020-W13",2020-03-25,"GR","Greece",0.512839687525846
"2020-W13",2020-03-26,"GR","Greece",0.512839687525846
"2020-W13",2020-03-27,"GR","Greece",0.512839687525846
"2020-W13",2020-03-28,"GR","Greece",0.512839687525846
"2020-W13",2020-03-29,"GR","Greece",0.512839687525846
"2020-W14",2020-03-30,"GR","Greece",0.372974318200615
"2020-W14",2020-03-31,"GR","Greece",0.372974318200615
"2020-W14",2020-04-01,"GR","Greece",0.372974318200615
"2020-W14",2020-04-02,"GR","Greece",0.372974318200615
"2020-W14",2020-04-03,"GR","Greece",0.372974318200615
"2020-W14",2020-04-04,"GR","Greece",0.372974318200615
"2020-W14",2020-04-05,"GR","Greece",0.372974318200615
"2020-W15",2020-04-06,"GR","Greece",0.186487159100308
"2020-W15",2020-04-07,"GR","Greece",0.186487159100308
"2020-W15",2020-04-08,"GR","Greece",0.186487159100308
"2020-W15",2020-04-09,"GR","Greece",0.186487159100308
"2020-W15",2020-04-10,"GR","Greece",0.186487159100308
"2020-W15",2020-04-11,"GR","Greece",0.186487159100308
"2020-W15",2020-04-12,"GR","Greece",0.186487159100308
"2020-W16",2020-04-13,"GR","Greece",0.158514085235262
"2020-W16",2020-04-14,"GR","Greece",0.158514085235262
"2020-W16",2020-04-15,"GR","Greece",0.158514085235262
"2020-W16",2020-04-16,"GR","Greece",0.158514085235262
"2020-W16",2020-04-17,"GR","Greece",0.158514085235262
"2020-W16",2020-04-18,"GR","Greece",0.158514085235262
"2020-W16",2020-04-19,"GR","Greece",0.158514085235262
"2020-W17",2020-04-20,"GR","Greece",0.0932435795501538
"2020-W17",2020-04-21,"GR","Greece",0.0932435795501538
"2020-W17",2020-04-22,"GR","Greece",0.0932435795501538
"2020-W17",2020-04-23,"GR","Greece",0.0932435795501538
"2020-W17",2020-04-24,"GR","Greece",0.0932435795501538
"2020-W17",2020-04-25,"GR","Greece",0.0932435795501538
"2020-W17",2020-04-26,"GR","Greece",0.0932435795501538
"2020-W18",2020-04-27,"GR","Greece",0.0372974318200615
"2020-W18",2020-04-28,"GR","Greece",0.0372974318200615
"2020-W18",2020-04-29,"GR","Greece",0.0372974318200615
"2020-W18",2020-04-30,"GR","Greece",0.0372974318200615
"2020-W18",2020-05-01,"GR","Greece",0.0372974318200615
"2020-W18",2020-05-02,"GR","Greece",0.0372974318200615
"2020-W18",2020-05-03,"GR","Greece",0.0372974318200615
"2020-W19",2020-05-04,"GR","Greece",0.0372974318200615
"2020-W19",2020-05-05,"GR","Greece",0.0372974318200615
"2020-W19",2020-05-06,"GR","Greece",0.0372974318200615
"2020-W19",2020-05-07,"GR","Greece",0.0372974318200615
"2020-W19",2020-05-08,"GR","Greece",0.0372974318200615
"2020-W19",2020-05-09,"GR","Greece",0.0372974318200615
"2020-W19",2020-05-10,"GR","Greece",0.0372974318200615
"2020-W20",2020-05-11,"GR","Greece",0.0466217897750769
"2020-W20",2020-05-12,"GR","Greece",0.0466217897750769
"2020-W20",2020-05-13,"GR","Greece",0.0466217897750769
"2020-W20",2020-05-14,"GR","Greece",0.0466217897750769
"2020-W20",2020-05-15,"GR","Greece",0.0466217897750769
"2020-W20",2020-05-16,"GR","Greece",0.0466217897750769
"2020-W20",2020-05-17,"GR","Greece",0.0466217897750769
"2020-W21",2020-05-18,"GR","Greece",0.0372974318200615
"2020-W21",2020-05-19,"GR","Greece",0.0372974318200615
"2020-W21",2020-05-20,"GR","Greece",0.0372974318200615
"2020-W21",2020-05-21,"GR","Greece",0.0372974318200615
"2020-W21",2020-05-22,"GR","Greece",0.0372974318200615
"2020-W21",2020-05-23,"GR","Greece",0.0372974318200615
"2020-W21",2020-05-24,"GR","Greece",0.0372974318200615
"2020-W22",2020-05-25,"GR","Greece",0.0186487159100308
"2020-W22",2020-05-26,"GR","Greece",0.0186487159100308
"2020-W22",2020-05-27,"GR","Greece",0.0186487159100308
"2020-W22",2020-05-28,"GR","Greece",0.0186487159100308
"2020-W22",2020-05-29,"GR","Greece",0.0186487159100308
"2020-W22",2020-05-30,"GR","Greece",0.0186487159100308
"2020-W22",2020-05-31,"GR","Greece",0.0186487159100308
"2020-W23",2020-06-01,"GR","Greece",0.0279730738650461
"2020-W23",2020-06-02,"GR","Greece",0.0279730738650461
"2020-W23",2020-06-03,"GR","Greece",0.0279730738650461
"2020-W23",2020-06-04,"GR","Greece",0.0279730738650461
"2020-W23",2020-06-05,"GR","Greece",0.0279730738650461
"2020-W23",2020-06-06,"GR","Greece",0.0279730738650461
"2020-W23",2020-06-07,"GR","Greece",0.0279730738650461
"2020-W24",2020-06-08,"GR","Greece",0.0745948636401231
"2020-W24",2020-06-09,"GR","Greece",0.0745948636401231
"2020-W24",2020-06-10,"GR","Greece",0.0745948636401231
"2020-W24",2020-06-11,"GR","Greece",0.0745948636401231
"2020-W24",2020-06-12,"GR","Greece",0.0745948636401231
"2020-W24",2020-06-13,"GR","Greece",0.0745948636401231
"2020-W24",2020-06-14,"GR","Greece",0.0745948636401231
"2020-W25",2020-06-15,"GR","Greece",0.0186487159100308
"2020-W25",2020-06-16,"GR","Greece",0.0186487159100308
"2020-W25",2020-06-17,"GR","Greece",0.0186487159100308
"2020-W25",2020-06-18,"GR","Greece",0.0186487159100308
"2020-W25",2020-06-19,"GR","Greece",0.0186487159100308
"2020-W25",2020-06-20,"GR","Greece",0.0186487159100308
"2020-W25",2020-06-21,"GR","Greece",0.0186487159100308
"2020-W26",2020-06-22,"GR","Greece",0.0279730738650461
"2020-W26",2020-06-23,"GR","Greece",0.0279730738650461
"2020-W26",2020-06-24,"GR","Greece",0.0279730738650461
"2020-W26",2020-06-25,"GR","Greece",0.0279730738650461
"2020-W26",2020-06-26,"GR","Greece",0.0279730738650461
"2020-W26",2020-06-27,"GR","Greece",0.0279730738650461
"2020-W26",2020-06-28,"GR","Greece",0.0279730738650461
"2020-W27",2020-06-29,"GR","Greece",0.0279730738650461
"2020-W27",2020-06-30,"GR","Greece",0.0279730738650461
"2020-W27",2020-07-01,"GR","Greece",0.0279730738650461
"2020-W27",2020-07-02,"GR","Greece",0.0279730738650461
"2020-W27",2020-07-03,"GR","Greece",0.0279730738650461
"2020-W27",2020-07-04,"GR","Greece",0.0279730738650461
"2020-W27",2020-07-05,"GR","Greece",0.0279730738650461
"2020-W28",2020-07-06,"GR","Greece",0.0372974318200615
"2020-W28",2020-07-07,"GR","Greece",0.0372974318200615
"2020-W28",2020-07-08,"GR","Greece",0.0372974318200615
"2020-W28",2020-07-09,"GR","Greece",0.0372974318200615
"2020-W28",2020-07-10,"GR","Greece",0.0372974318200615
"2020-W28",2020-07-11,"GR","Greece",0.0372974318200615
"2020-W28",2020-07-12,"GR","Greece",0.0372974318200615
"2020-W29",2020-07-13,"GR","Greece",0.0186487159100308
"2020-W29",2020-07-14,"GR","Greece",0.0186487159100308
"2020-W29",2020-07-15,"GR","Greece",0.0186487159100308
"2020-W29",2020-07-16,"GR","Greece",0.0186487159100308
"2020-W29",2020-07-17,"GR","Greece",0.0186487159100308
"2020-W29",2020-07-18,"GR","Greece",0.0186487159100308
"2020-W29",2020-07-19,"GR","Greece",0.0186487159100308
"2020-W30",2020-07-20,"GR","Greece",0.0652705056851077
"2020-W30",2020-07-21,"GR","Greece",0.0652705056851077
"2020-W30",2020-07-22,"GR","Greece",0.0652705056851077
"2020-W30",2020-07-23,"GR","Greece",0.0652705056851077
"2020-W30",2020-07-24,"GR","Greece",0.0652705056851077
"2020-W30",2020-07-25,"GR","Greece",0.0652705056851077
"2020-W30",2020-07-26,"GR","Greece",0.0652705056851077
"2020-W31",2020-07-27,"GR","Greece",0.102567937505169
"2020-W31",2020-07-28,"GR","Greece",0.102567937505169
"2020-W31",2020-07-29,"GR","Greece",0.102567937505169
"2020-W31",2020-07-30,"GR","Greece",0.102567937505169
"2020-W31",2020-07-31,"GR","Greece",0.102567937505169
"2020-W31",2020-08-01,"GR","Greece",0.102567937505169
"2020-W31",2020-08-02,"GR","Greece",0.102567937505169
"2020-W32",2020-08-03,"GR","Greece",0.149189727280246
"2020-W32",2020-08-04,"GR","Greece",0.149189727280246
"2020-W32",2020-08-05,"GR","Greece",0.149189727280246
"2020-W32",2020-08-06,"GR","Greece",0.149189727280246
"2020-W32",2020-08-07,"GR","Greece",0.149189727280246
"2020-W32",2020-08-08,"GR","Greece",0.149189727280246
"2020-W32",2020-08-09,"GR","Greece",0.149189727280246
"2020-W33",2020-08-10,"GR","Greece",0.111892295460185
"2020-W33",2020-08-11,"GR","Greece",0.111892295460185
"2020-W33",2020-08-12,"GR","Greece",0.111892295460185
"2020-W33",2020-08-13,"GR","Greece",0.111892295460185
"2020-W33",2020-08-14,"GR","Greece",0.111892295460185
"2020-W33",2020-08-15,"GR","Greece",0.111892295460185
"2020-W33",2020-08-16,"GR","Greece",0.111892295460185
"2020-W34",2020-08-17,"GR","Greece",0.186487159100308
"2020-W34",2020-08-18,"GR","Greece",0.186487159100308
"2020-W34",2020-08-19,"GR","Greece",0.186487159100308
"2020-W34",2020-08-20,"GR","Greece",0.186487159100308
"2020-W34",2020-08-21,"GR","Greece",0.186487159100308
"2020-W34",2020-08-22,"GR","Greece",0.186487159100308
"2020-W34",2020-08-23,"GR","Greece",0.186487159100308
"2020-W35",2020-08-24,"GR","Greece",0.167838443190277
"2020-W35",2020-08-25,"GR","Greece",0.167838443190277
"2020-W35",2020-08-26,"GR","Greece",0.167838443190277
"2020-W35",2020-08-27,"GR","Greece",0.167838443190277
"2020-W35",2020-08-28,"GR","Greece",0.167838443190277
"2020-W35",2020-08-29,"GR","Greece",0.167838443190277
"2020-W35",2020-08-30,"GR","Greece",0.167838443190277
"2020-W36",2020-08-31,"GR","Greece",0.205135875010338
"2020-W36",2020-09-01,"GR","Greece",0.205135875010338
"2020-W36",2020-09-02,"GR","Greece",0.205135875010338
"2020-W36",2020-09-03,"GR","Greece",0.205135875010338
"2020-W36",2020-09-04,"GR","Greece",0.205135875010338
"2020-W36",2020-09-05,"GR","Greece",0.205135875010338
"2020-W36",2020-09-06,"GR","Greece",0.205135875010338
"2020-W37",2020-09-07,"GR","Greece",0.335676886380554
"2020-W37",2020-09-08,"GR","Greece",0.335676886380554
"2020-W37",2020-09-09,"GR","Greece",0.335676886380554
"2020-W37",2020-09-10,"GR","Greece",0.335676886380554
"2020-W37",2020-09-11,"GR","Greece",0.335676886380554
"2020-W37",2020-09-12,"GR","Greece",0.335676886380554
"2020-W37",2020-09-13,"GR","Greece",0.335676886380554
"2020-W38",2020-09-14,"GR","Greece",0.419596107975692
"2020-W38",2020-09-15,"GR","Greece",0.419596107975692
"2020-W38",2020-09-16,"GR","Greece",0.419596107975692
"2020-W38",2020-09-17,"GR","Greece",0.419596107975692
"2020-W38",2020-09-18,"GR","Greece",0.419596107975692
"2020-W38",2020-09-19,"GR","Greece",0.419596107975692
"2020-W38",2020-09-20,"GR","Greece",0.419596107975692
"2020-W39",2020-09-21,"GR","Greece",0.270406380695446
"2020-W39",2020-09-22,"GR","Greece",0.270406380695446
"2020-W39",2020-09-23,"GR","Greece",0.270406380695446
"2020-W39",2020-09-24,"GR","Greece",0.270406380695446
"2020-W39",2020-09-25,"GR","Greece",0.270406380695446
"2020-W39",2020-09-26,"GR","Greece",0.270406380695446
"2020-W39",2020-09-27,"GR","Greece",0.270406380695446
"2020-W40",2020-09-28,"GR","Greece",0.447569181840738
"2020-W40",2020-09-29,"GR","Greece",0.447569181840738
"2020-W40",2020-09-30,"GR","Greece",0.447569181840738
"2020-W40",2020-10-01,"GR","Greece",0.447569181840738
"2020-W40",2020-10-02,"GR","Greece",0.447569181840738
"2020-W40",2020-10-03,"GR","Greece",0.447569181840738
"2020-W40",2020-10-04,"GR","Greece",0.447569181840738
"2020-W41",2020-10-05,"GR","Greece",0.382298676155631
"2020-W41",2020-10-06,"GR","Greece",0.382298676155631
"2020-W41",2020-10-07,"GR","Greece",0.382298676155631
"2020-W41",2020-10-08,"GR","Greece",0.382298676155631
"2020-W41",2020-10-09,"GR","Greece",0.382298676155631
"2020-W41",2020-10-10,"GR","Greece",0.382298676155631
"2020-W41",2020-10-11,"GR","Greece",0.382298676155631
"2020-W42",2020-10-12,"GR","Greece",0.326352528425538
"2020-W42",2020-10-13,"GR","Greece",0.326352528425538
"2020-W42",2020-10-14,"GR","Greece",0.326352528425538
"2020-W42",2020-10-15,"GR","Greece",0.326352528425538
"2020-W42",2020-10-16,"GR","Greece",0.326352528425538
"2020-W42",2020-10-17,"GR","Greece",0.326352528425538
"2020-W42",2020-10-18,"GR","Greece",0.326352528425538
"2020-W43",2020-10-19,"GR","Greece",0.531488403435877
"2020-W43",2020-10-20,"GR","Greece",0.531488403435877
"2020-W43",2020-10-21,"GR","Greece",0.531488403435877
"2020-W43",2020-10-22,"GR","Greece",0.531488403435877
"2020-W43",2020-10-23,"GR","Greece",0.531488403435877
"2020-W43",2020-10-24,"GR","Greece",0.531488403435877
"2020-W43",2020-10-25,"GR","Greece",0.531488403435877
"2020-W44",2020-10-26,"GR","Greece",0.941760153456554
"2020-W44",2020-10-27,"GR","Greece",0.941760153456554
"2020-W44",2020-10-28,"GR","Greece",0.941760153456554
"2020-W44",2020-10-29,"GR","Greece",0.941760153456554
"2020-W44",2020-10-30,"GR","Greece",0.941760153456554
"2020-W44",2020-10-31,"GR","Greece",0.941760153456554
"2020-W44",2020-11-01,"GR","Greece",0.941760153456554
"2020-W45",2020-11-02,"GR","Greece",1.46392419893742
"2020-W45",2020-11-03,"GR","Greece",1.46392419893742
"2020-W45",2020-11-04,"GR","Greece",1.46392419893742
"2020-W45",2020-11-05,"GR","Greece",1.46392419893742
"2020-W45",2020-11-06,"GR","Greece",1.46392419893742
"2020-W45",2020-11-07,"GR","Greece",1.46392419893742
"2020-W45",2020-11-08,"GR","Greece",1.46392419893742
"2020-W46",2020-11-09,"GR","Greece",2.72271252286449
"2020-W46",2020-11-10,"GR","Greece",2.72271252286449
"2020-W46",2020-11-11,"GR","Greece",2.72271252286449
"2020-W46",2020-11-12,"GR","Greece",2.72271252286449
"2020-W46",2020-11-13,"GR","Greece",2.72271252286449
"2020-W46",2020-11-14,"GR","Greece",2.72271252286449
"2020-W46",2020-11-15,"GR","Greece",2.72271252286449
"2020-W47",2020-11-16,"GR","Greece",3.38474193767058
"2020-W47",2020-11-17,"GR","Greece",3.38474193767058
"2020-W47",2020-11-18,"GR","Greece",3.38474193767058
"2020-W47",2020-11-19,"GR","Greece",3.38474193767058
"2020-W47",2020-11-20,"GR","Greece",3.38474193767058
"2020-W47",2020-11-21,"GR","Greece",3.38474193767058
"2020-W47",2020-11-22,"GR","Greece",3.38474193767058
"2020-W48",2020-11-23,"GR","Greece",2.87190225014474
"2020-W48",2020-11-24,"GR","Greece",2.87190225014474
"2020-W48",2020-11-25,"GR","Greece",2.87190225014474
"2020-W48",2020-11-26,"GR","Greece",2.87190225014474
"2020-W48",2020-11-27,"GR","Greece",2.87190225014474
"2020-W48",2020-11-28,"GR","Greece",2.87190225014474
"2020-W48",2020-11-29,"GR","Greece",2.87190225014474
"2020-W48",2020-11-30,"GR","Greece",2.87190225014474
"2020-W48",2020-12-01,"GR","Greece",2.87190225014474
"2020-W48",2020-12-02,"GR","Greece",2.87190225014474
"2020-W48",2020-12-03,"GR","Greece",2.87190225014474
"2020-W48",2020-12-04,"GR","Greece",2.87190225014474
"2020-W48",2020-12-05,"GR","Greece",2.87190225014474
"2020-W48",2020-12-06,"GR","Greece",2.87190225014474
